platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/the-are-murders/
netflix,2,The Ã…re Murders,https://flixpatrol.com/title/the-are-murders/
netflix,3,The Night Agent,https://flixpatrol.com/title/the-night-agent/
netflix,4,Prison Cell 211,https://flixpatrol.com/title/prison-cell-211/
netflix,5,The Recruit,https://flixpatrol.com/title/the-recruit-2022/
netflix,6,Sweet Magnolias,https://flixpatrol.com/title/sweet-magnolias/
netflix,7,Apple Cider Vinegar,https://flixpatrol.com/title/apple-cider-vinegar-2025/
netflix,8,Cassandra,https://flixpatrol.com/title/cassandra/
netflix,9,Squid Game,https://flixpatrol.com/title/squid-game/
netflix,10,Wrong Side of the Tracks,https://flixpatrol.com/title/wrong-side-of-the-tracks/
netflix,11,Ghosts,https://flixpatrol.com/title/ghosts-2021/
hbo,1,,https://flixpatrol.com/title/the-pitt/
hbo,2,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,3,The Fall of Diddy,https://flixpatrol.com/title/the-fall-of-diddy/
hbo,4,Strike,https://flixpatrol.com/title/strike-2017/
hbo,5,Scars of Beauty,https://flixpatrol.com/title/scars-of-beauty/
hbo,6,SAS: Rogue Heroes,https://flixpatrol.com/title/sas-rogue-heroes/
hbo,7,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,8,Emperor of Ocean Park,https://flixpatrol.com/title/emperor-of-ocean-park/
hbo,9,Brilliant Minds,https://flixpatrol.com/title/brilliant-minds/
hbo,10,The Eastern Gate,https://flixpatrol.com/title/the-eastern-gate/
hbo,11,Common Side Effects,https://flixpatrol.com/title/common-side-effects/
disney,1,,https://flixpatrol.com/title/high-potential/
disney,2,High Potential,https://flixpatrol.com/title/high-potential/
disney,3,Your Friendly Neighborhood Spider-Man,https://flixpatrol.com/title/your-friendly-neighborhood-spider-man/
disney,4,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,5,Paradise,https://flixpatrol.com/title/paradise-2025/
disney,6,Modern Family,https://flixpatrol.com/title/modern-family/
disney,7,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,8,Bluey,https://flixpatrol.com/title/bluey/
disney,9,Desperate Housewives,https://flixpatrol.com/title/desperate-housewives/
disney,10,The Kardashians,https://flixpatrol.com/title/the-kardashians/
disney,11,9-1-1,https://flixpatrol.com/title/9-1-1/
apple-tv,1,,https://flixpatrol.com/title/severance-2022/
apple-tv,2,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,3,Prime Target,https://flixpatrol.com/title/prime-target/
apple-tv,4,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,5,Dark Matter,https://flixpatrol.com/title/dark-matter-2024/
apple-tv,6,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,7,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,8,Slow Horses,https://flixpatrol.com/title/slow-horses/
apple-tv,9,Mythic Quest,https://flixpatrol.com/title/mythic-quest/
apple-tv,10,Bad Sisters,https://flixpatrol.com/title/bad-sisters/
apple-tv,11,See,https://flixpatrol.com/title/see/
amazon-prime,1,,https://flixpatrol.com/title/beast-games/
amazon-prime,2,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,3,INVINCIBLE,https://flixpatrol.com/title/invincible-2021/
amazon-prime,4,On Call,https://flixpatrol.com/title/on-call/
amazon-prime,5,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,6,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
amazon-prime,7,Harlem,https://flixpatrol.com/title/harlem/
amazon-prime,8,Secret Level,https://flixpatrol.com/title/secret-level/
amazon-prime,9,Cruel Intentions,https://flixpatrol.com/title/cruel-intentions-2024/
amazon-prime,10,Yo soy Betty la fea,https://flixpatrol.com/title/yo-soy-betty-la-fea/
amazon-prime,11,Marry My Husband,https://flixpatrol.com/title/marry-my-husband/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,4,Dexter: Original Sin,https://flixpatrol.com/title/dexter-original-sin/
paramount-plus,5,Tulsa King,https://flixpatrol.com/title/tulsa-king/
paramount-plus,6,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,7,Lioness,https://flixpatrol.com/title/lioness/
paramount-plus,8,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,9,Scorpion,https://flixpatrol.com/title/scorpion/
paramount-plus,10,NCIS,https://flixpatrol.com/title/ncis/
paramount-plus,11,Dexter,https://flixpatrol.com/title/dexter/
